0 bytes,8 bytes,32 bytes,256 bytes,512 bytes,1024 bytes,4096 bytes,8192 bytes
38100,40100,39700,40000,39900,40800,41900,47500
38100,40100,39700,40000,39900,40800,41900,47500
38100,40100,39700,40000,39900,40800,41900,47600
38100,40100,39700,40000,39900,40800,41900,47600
38100,40100,39700,40000,39900,40800,41900,47600
38100,40100,39700,40000,39900,40800,41900,47600
38100,40100,39700,40000,39900,40800,41900,47600
38100,40100,39700,40000,39900,40800,41900,47600
38100,40100,39700,40000,39900,40800,41900,47600
38100,40100,39700,40000,39900,40800,41900,47600
38100,40100,39700,40000,39900,40800,41900,47700
38100,40100,39700,40000,39900,40800,41900,47700
38100,40100,39700,40000,39900,40800,41900,47700
38200,40100,39700,40000,39900,40900,41900,47700
38200,40100,39700,40100,39900,40900,41900,47700
38200,40100,39700,40100,39900,40900,41900,47700
38200,40100,39700,40100,39900,40900,41900,47700
38200,40100,39700,40100,39900,40900,41900,47700
38200,40100,39700,40100,39900,40900,41900,47700
38200,40100,39700,40100,39900,40900,41900,47700
38200,40100,39700,40100,39900,40900,41900,47700
38200,40100,39700,40100,39900,40900,42000,47700
38200,40100,39700,40100,39900,40900,42000,47700
38200,40100,39700,40100,39900,40900,42000,47700
38200,40100,39700,40100,39900,40900,42000,47700
38200,40100,39700,40100,39900,40900,42000,47700
38200,40100,39700,40100,39900,40900,42000,47700
38200,40100,39700,40100,39900,40900,42000,47700
38200,40100,39700,40100,39900,40900,42000,47800
38200,40100,39700,40100,39900,40900,42000,47800
38300,40100,39700,40100,39900,40900,42000,47800
38300,40100,39700,40100,39900,40900,42000,47800
38300,40100,39700,40100,39900,40900,42000,47800
38300,40100,39700,40100,39900,40900,42000,47800
38300,40100,39700,40100,39900,40900,42000,47800
38300,40100,39700,40100,39900,40900,42000,47800
38300,40100,39700,40100,39900,40900,42000,47800
38300,40100,39800,40100,39900,40900,42000,47800
38300,40100,39800,40100,39900,40900,42000,47800
38300,40100,39800,40100,39900,40900,42100,47800
38300,40100,39800,40100,39900,40900,42100,47900
38300,40100,39800,40100,39900,40900,42100,47900
38300,40100,39800,40100,39900,40900,42100,47900
38400,40100,39800,40100,39900,40900,42100,47900
38400,40200,39800,40100,39900,40900,42100,47900
38400,40200,39800,40100,39900,40900,42100,47900
38400,40200,39800,40100,39900,40900,42100,47900
38400,40200,39800,40100,39900,40900,42100,47900
38400,40200,39800,40100,39900,40900,42100,47900
38400,40200,39800,40100,39900,40900,42100,48000
38400,40200,39800,40100,39900,40900,42200,48000
38400,40200,39800,40100,39900,40900,42200,48000
